city,GEOID,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors
Chicago,17031490300,0.8403219980664441,186,241.0,0,0.9387254329307062,37,49.0,0,0.5637474095724163,13,13.0,0,0.7431854248411015,27,27.0,0
Chicago,17031351500,0.9024024121618383,60,62.0,0,0.6888580120694644,12,12.0,0,,0,0.0,0,,0,0.0,0
Chicago,17031814500,0.8980193835426411,85,158.0,0,0.9586593392776869,250,514.0,0,0.7062920782684949,32,52.0,0,0.7186383116078865,48,80.0,0
Chicago,17111871206,0.7409663197500159,148,466.0,0,0.8493117886485424,233,437.0,0,0.698281989626601,24,34.0,0,0.7435400483818875,13,13.0,0
Chicago,17043841307,0.837569309383069,85,142.0,0,0.8219558875680677,130,227.0,0,0.6188594926700592,20,28.0,0,0.716558987520464,20,31.0,0
Chicago,17043843200,0.9322982504626456,87,117.0,0,0.8719411927789196,69,98.0,0,0.6780428259561715,9,9.0,0,0.8339150226079424,8,8.0,0
Chicago,17043842711,0.8484272200486608,80,99.0,0,0.7901738674083533,67,80.0,0,0.5887621559162939,5,5.0,0,0.7127263906780549,6,7.0,0
Chicago,17031090200,0.9131412598023512,127,173.0,0,0.9337557623861161,168,274.0,0,0.9034497096623323,18,22.0,0,0.7579183152070362,14,14.0,0
Chicago,17043844502,0.9507791117304158,164,199.0,0,0.9252349855499415,84,118.0,0,0.4444299884274581,7,7.0,0,0.5783135530271315,10,11.0,0
Chicago,17111871105,0.7415920123642404,30,61.0,0,0.8252338244933791,94,185.0,0,0.6358362194933438,11,23.0,0,0.557317736413365,11,20.0,0
Chicago,18089990000,-0.0,2,2.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0
Chicago,17031804104,0.655381228676934,44,71.0,0,0.8241817292382921,111,199.0,0,0.7372018207993071,8,8.0,0,0.7283881538578479,14,16.0,0
Chicago,17031320100,0.992031947974546,1415,3489.0,0,0.9008404961355194,416,983.0,0,0.9732587579762907,61,61.0,0,0.9850711491336118,41,41.0,0
Chicago,17097864307,0.759564284497228,84,119.0,0,0.7798294206538433,22,29.0,0,-0.0,1,1.0,0,,0,0.0,0
Chicago,17097865000,0.6388801547704653,17,23.0,0,0.5303560860446522,9,10.0,0,0.38685280723454163,2,2.0,0,0.38685280723454163,2,2.0,0
Chicago,17031801601,0.8647397717518464,180,229.0,0,0.8787465338619475,107,175.0,0,0.355245321275764,3,3.0,0,0.27927991012866066,3,5.0,0
Chicago,17031809200,0.9354708170637932,77,120.0,0,0.9806743360326733,154,269.0,0,0.8856014073204163,11,15.0,0,0.9444802663421245,18,20.0,0
Chicago,17031826800,0.9219165351686969,199,281.0,0,0.9474940390555671,164,241.0,0,0.7477108766567818,16,17.0,0,0.7996369365439233,13,14.0,0
Chicago,18089040900,0.8954038781868467,77,142.0,0,0.9532476345245918,176,328.0,0,0.7125508343640725,10,16.0,0,0.796457933048093,7,9.0,0
Chicago,17031803606,0.878133925083464,109,186.0,0,0.8963505924806413,138,228.0,0,0.8087036350235745,10,20.0,0,0.937257335681051,22,26.0,0
Chicago,17031151200,0.8741839183404975,96,158.0,0,0.9478190709055914,190,295.0,0,0.9337689338315037,27,30.0,0,0.900957859727165,20,22.0,0
Chicago,17043841110,0.8149554635629984,49,76.0,0,0.8960899585251743,135,204.0,0,0.6906204216743225,20,27.0,0,0.7028112272476799,25,31.0,0
Chicago,17031150800,0.8801427670260642,75,106.0,0,0.9302999942929586,197,307.0,0,0.8517390638023332,26,27.0,0,0.9176826905295181,30,34.0,0
Chicago,17031829600,0.9637921316821576,49,73.0,0,0.958795845606148,68,86.0,0,0.873691549534701,16,18.0,0,0.8982444017039272,9,10.0,0
Chicago,55059000100,0.8477611623655261,58,153.0,0,0.9169581653631398,119,252.0,0,0.3270263829307386,7,11.0,0,0.6250785191233809,14,18.0,0
Chicago,17031300500,0.8498930228775055,77,98.0,0,0.9504582420231805,73,79.0,0,0.38685280723454163,2,2.0,0,,0,0.0,0
Chicago,17097864903,0.7568419981287995,46,53.0,0,0.600268990755616,59,86.0,0,-0.0,2,2.0,0,0.31384521989498937,4,4.0,0
Chicago,17031301600,0.8235419039338533,40,46.0,0,0.9730304660363662,86,99.0,0,0.9111886696810589,12,12.0,0,0.8499774069493011,9,9.0,0
Chicago,17031828504,0.989666097632292,77,117.0,0,0.9496926991741317,116,204.0,0,0.7961636333518288,19,21.0,0,0.8757609339601583,23,28.0,0
Chicago,17097864105,0.7648819299034068,66,151.0,0,0.7534038442682823,61,91.0,0,0.8499774069493011,9,9.0,0,0.7319237654361288,12,13.0,0
Chicago,17031815300,0.8606615319560981,63,131.0,0,0.9926666189256055,115,163.0,0,0.5863352583727444,16,24.0,0,0.6093375014033007,16,21.0,0
Chicago,17031804311,0.8979834315073325,184,279.0,0,0.9105591457859987,215,367.0,0,0.9189989852372701,27,42.0,0,0.9697883595925099,22,24.0,0
Chicago,17097864522,0.7818572652740695,45,56.0,0,0.7828938725286116,75,113.0,0,0.38113827019130503,7,7.0,0,0.4841962570206112,6,6.0,0
Chicago,17043846603,0.778849777062389,26,37.0,0,0.9089822246437713,160,246.0,0,0.6869960193810197,11,13.0,0,0.8692910451467634,15,19.0,0
