city,GEOID,lon,lat,Income,pct_black,pct_hispanic,pct_other_race,mobility_in_entropy,mobility_in_degree,mobility_in_weight,mobility_in_missing_income_neighbors,mobility_out_entropy,mobility_out_degree,mobility_out_weight,mobility_out_missing_income_neighbors,mentions_in_entropy,mentions_in_degree,mentions_in_weight,mentions_in_missing_income_neighbors,mentions_out_entropy,mentions_out_degree,mentions_out_weight,mentions_out_missing_income_neighbors,Income_k,Income_k_sq
Chicago,17031300600,-87.717568,41.847679,40909,0.1306486320319705,0.8213956347986474,0.018444512757454658,0.8147013629128649,60,68.0,0,0.8479948590268933,110,132.0,0,0.7737056144690833,8,8.0,0,0.355245321275764,3,3.0,0,40.909,1673.546281
Chicago,17031530200,-87.632123,41.681625,25590,0.9278100775193798,0.03682170542635659,0.02810077519379845,0.767453081068897,71,98.0,0,0.8630848907778867,126,167.0,0,0.596520175382124,16,18.0,0,0.6131471927654584,3,3.0,0,25.59,654.8481
Chicago,17031814800,-87.7977,41.850897,68333,0.11404189294026378,0.6035686578743211,0.0504266873545384,0.9131705472655202,248,583.0,0,0.906193130159496,108,210.0,0,0.8374360280994714,24,35.0,0,0.7687325013525691,21,27.0,0,68.333,4669.398889
Chicago,17031491000,-87.627754,41.699275,23934,0.9222484896243761,0.042027843446283165,0.026267402153926978,0.653879715450248,51,66.0,0,0.8108893962407004,126,172.0,0,0.7517824520804012,26,28.0,0,0.7422802842594745,43,49.0,0,23.934,572.836356
Chicago,17031809300,-87.685261,42.056485,20814,0.0975609756097561,0.07733491969066032,0.2696807455879437,0.8997355902150557,91,131.0,0,0.9577048023142752,159,298.0,0,0.5437754171820363,5,8.0,0,0.4841962570206112,6,6.0,0,20.814,433.222596
Chicago,17031841100,-87.635047,41.851049,25098,0.03969548667754214,0.027596519847743337,0.8867591082109842,0.9849812386003846,610,916.0,0,0.9759111087438715,259,387.0,0,0.8253069399348818,17,17.0,0,0.9743163353697012,27,27.0,0,25.098,629.909604
Chicago,17031826201,-87.568206,41.603056,31107,0.8454734651404787,0.058792924037460975,0.02497398543184183,0.8537108789380774,259,501.0,0,0.8805538286816669,102,151.0,0,0.6933157417883145,12,17.0,0,0.7473041779279218,21,29.0,0,31.107,967.645449
Chicago,17031820901,-87.782458,41.752458,43815,0.0220351128627732,0.4084557506270154,0.048369759942672876,0.9443658930075788,288,509.0,0,0.9652206454540468,206,315.0,0,0.791670805321198,9,10.0,0,0.381138270191305,6,7.0,0,43.815,1919.754225
Chicago,17031815300,-87.794883,41.839526,63043,0.04153354632587859,0.5591054313099042,0.05085197018104366,0.8606615319560981,63,131.0,0,0.9926666189256056,115,163.0,0,0.5863352583727444,16,24.0,0,0.6093375014033007,16,21.0,0,63.043,3974.419849
Chicago,17031833000,-87.654376,41.883491,128882,0.06812134113890367,0.060493170125953524,0.17367394003902786,0.9937142928943192,822,1528.0,0,0.8873944706032324,195,370.0,0,0.9456710582634468,19,19.0,0,0.7785780702911712,19,21.0,0,128.882,16610.569924000003
Chicago,17031824507,-87.783617,41.59223,65388,0.058027079303675046,0.10275628626692457,0.05899419729206963,0.9352202582005597,175,331.0,0,0.8945446496082005,94,194.0,0,0.8882196430920655,27,39.0,0,0.903119551111293,30,37.0,0,65.388,4275.590544000001
Chicago,17031231100,-87.715324,41.898708,32143,0.47611202635914335,0.4546952224052718,0.023887973640856673,0.8874541638348334,47,52.0,0,0.9529601849414928,17,17.0,0,0.355245321275764,3,3.0,0,0.7737056144690833,4,4.0,0,32.143,1033.1724490000001
