city,GEOID,lon,lat,pct_black,local_coef,local_t,local_sig
Chicago,17031300600,-87.717568,41.847679,0.1306486320319705,-0.23531732743417758,-1.2680631097636983,False
Chicago,17031530200,-87.632123,41.681625,0.9278100775193798,-0.21491166581078552,-1.3327066156732124,False
Chicago,17031814800,-87.7977,41.850897,0.11404189294026378,-0.17144140372559785,-1.1102264203847945,False
Chicago,17031491000,-87.627754,41.699275,0.9222484896243761,-0.20770088608893228,-1.1781079473947222,False
Chicago,17031809300,-87.685261,42.056485,0.0975609756097561,0.5159976358898235,2.3674020318342084,True
Chicago,17031841100,-87.635047,41.851049,0.03969548667754214,-0.4339471913347531,-3.3377707824068965,True
Chicago,17031826201,-87.568206,41.603056,0.8454734651404787,-0.052208252229222527,-0.37497265801303703,False
Chicago,17031820901,-87.782458,41.752458,0.0220351128627732,-0.032060824055739116,-0.268874601039137,False
Chicago,17031815300,-87.794883,41.839526,0.04153354632587859,-0.22314350019309404,-1.4025309948107765,False
Chicago,17031833000,-87.654376,41.883491,0.06812134113890367,-0.07650682902528166,-0.5374206594518686,False
Chicago,17031824507,-87.783617,41.59223,0.058027079303675046,0.1702024347803108,2.180053709771124,True
Chicago,17031231100,-87.715324,41.898708,0.47611202635914335,-0.007579008792226498,-0.051195786939937545,False
Chicago,17031500300,-87.607696,41.688814,0.45116572148708256,-0.05032119377133164,-0.23048092820660274,False
Chicago,17031260700,-87.727931,41.877218,0.8432879952690716,0.009402083946838904,0.06529420878494911,False
Chicago,17031491400,-87.616044,41.688845,0.9236405707674509,-0.14713841310837272,-0.7776490509562777,False
Chicago,17031815600,-87.826707,41.845259,0.055456490727532094,-0.010213482574275463,-0.07848329984368464,False
Chicago,17031838000,-87.680551,41.877866,0.6325914749151264,-0.15072556975179094,-0.9361609713073868,False
Chicago,17031230700,-87.721849,41.906478,0.08845287873914442,-0.03267823351918268,-0.20903417473516403,False
Chicago,17031292200,-87.715793,41.856697,0.8511216859279401,-0.1529676773023594,-0.934685303947905,False
Chicago,17031842400,-87.630788,41.747588,0.9565932259125288,-0.4396864922045237,-1.7445847115649513,False
Chicago,17031808702,-87.678057,42.053875,0.0582010582010582,0.49400865734009647,2.277055029693361,True
Chicago,17031081800,-87.638912,41.893404,0.02180603182977227,0.02898214531340168,0.2008146005689094,False
Chicago,17031843400,-87.731788,41.850302,0.5990813648293963,-0.17916964313665162,-0.9250365957435546,False
Chicago,17031813500,-87.775714,41.858253,0.05258752964151207,-0.35843090887511697,-1.796749410548806,False
Chicago,17031814200,-87.748982,41.838079,0.01329683222526398,-0.49078517635742236,-2.424384838285289,True
Chicago,17031081000,-87.63218,41.90072,0.10782071804253374,0.08631213200901744,0.5719442975540904,False
Chicago,17031161200,-87.738098,41.942209,0.024822695035460994,-0.0904435617107359,-0.611249655200876,False
Chicago,17031810400,-87.82898,41.988349,0.004252172305416898,0.022580713679595105,0.1458496596646332,False
Chicago,17031283800,-87.654047,41.863246,0.44780137600957226,-0.3525023963891857,-2.5232049922306645,True
Chicago,17031841900,-87.646507,41.867165,0.152,-0.2930063641078487,-2.1457359036034283,True
Chicago,17031420600,-87.61317,41.78302,0.9120443740095087,-0.25309284106465757,-1.3850917554515372,False
Chicago,17031300700,-87.712416,41.847794,0.029387244685285537,-0.2502953780210115,-1.429852391234628,False
Chicago,17031814900,-87.789999,41.853681,0.17980783895073968,-0.22191000851304485,-1.3300796271881645,False
Chicago,17031840700,-87.694963,41.85253,0.03717948717948718,-0.2795245684701805,-1.7100959916692984,False
Chicago,17031813302,-87.746768,41.862636,0.040694660445826855,-0.28462384048014205,-1.5827330339302457,False
Chicago,17031310800,-87.668841,41.855899,0.025389221556886228,-0.41850068108031335,-2.651497596951456,True
Chicago,17031809400,-87.680077,42.046728,0.04819473942166313,0.48138860836016334,2.2448653192546626,True
Chicago,17031281900,-87.64298,41.880252,0.045654956620679844,-0.12839734730399824,-0.9266121540870597,False
Chicago,17031838700,-87.71992,41.862586,0.9027105517909003,-0.08207902129191777,-0.5318782981891114,False
Chicago,17031063301,-87.643009,41.934278,0.05965407695022944,0.43072053328578086,1.6540275599384802,False
Chicago,17031803607,-88.01422,42.117105,0.011828180120356921,3.109047381120648,2.86317218053194,True
Chicago,17031843000,-87.720696,41.867564,0.9253472222222222,-0.05479265257503091,-0.371546037447217,False
Chicago,17031320100,-87.619103,41.885393,0.045764362220058426,-0.06007357243284859,-0.4712481133040951,False
Chicago,17031610300,-87.670976,41.813354,0.03974121996303143,-0.6741738673572614,-3.272923672213045,True
Chicago,17031291200,-87.712774,41.862185,0.9295713035870516,-0.1335412531936631,-0.853095512728373,False
Chicago,17031190900,-87.744265,41.927855,0.0425531914893617,-0.06760209457180832,-0.4732656075555927,False
Chicago,17031826800,-87.670544,41.635343,0.44038294168842473,-0.11337561142499936,-1.1858846182428386,False
Chicago,17031460500,-87.57232,41.747034,0.945925925925926,0.45953784288022415,1.4186081265435466,False
Chicago,17031840800,-87.707824,41.841463,0.0024009603841536613,-0.3254216674736924,-1.7303242088454245,False
Chicago,17031841400,-87.714151,41.85318,0.7634500426985482,-0.19156720781110217,-1.1384304350710974,False
Chicago,17031540102,-87.607377,41.657034,0.9496255956432947,-0.08592169799914728,-0.47740334505365256,False
Chicago,17031151002,-87.748107,41.942525,0.034219703574542286,-0.06672359359562557,-0.4886274871379811,False
Chicago,17031440900,-87.608574,41.729283,0.9553208773354996,0.02548252070770716,0.0828833436750346,False
Chicago,17031190100,-87.744811,41.935803,0.015913978494623657,-0.06347436336212285,-0.44871379520345744,False
Chicago,17031730400,-87.652725,41.717838,0.9527466036621383,-0.19112184746303784,-1.359364356781506,False
Chicago,17197883504,-87.847778,41.498193,0.04987486592777977,0.24704864785281913,3.045249797426216,True
Chicago,17031843100,-87.704245,41.860092,0.81740125930166,-0.1840652746935998,-1.1792349796575723,False
Chicago,17031831400,-87.764639,41.868895,0.6840425531914893,-0.44760514636125587,-1.848069601346218,False
Chicago,17031820700,-87.789682,41.817421,0.02362869198312236,-0.2719908397115764,-1.8751050001116385,False
Chicago,17031835500,-87.633472,41.815247,0.7916666666666666,-0.5124079439221445,-2.938373972971861,True
Chicago,17031809500,-87.687171,42.046133,0.08260469397146801,0.49244832444088216,2.2953408790052814,True
Chicago,17031839100,-87.630639,41.880467,0.11841146465873209,-0.11250505142968245,-0.854919944617235,False
Chicago,17031061100,-87.656966,41.949518,0.018288222384784197,0.7818247719828876,2.3042213785548777,True
Chicago,17031813802,-87.753784,41.847993,0.02601855586930214,-0.4570515992790215,-2.32093856045062,True
Chicago,17031813801,-87.74528,41.850112,0.018557422969187675,-0.3900529208016712,-1.9436361584278823,False
Chicago,17031815500,-87.787288,41.825039,0.030204572803850784,-0.3091415675072474,-1.9413819039974107,False
Chicago,17031301701,-87.719527,41.842433,0.008646880112175742,-0.3021579596637698,-1.389479499837983,False
Chicago,17031440300,-87.619936,41.744749,0.9467607440667094,-0.28425597535919295,-1.0315925957538716,False
Chicago,18089012800,-87.350747,41.599682,0.8518150174042765,0.11625310279804502,1.1116936851631956,False
Chicago,17031010100,-87.669534,42.0212,0.43384301732925584,0.4425719516111083,2.144331076741217,True
Chicago,17031823602,-87.758367,41.654153,0.054276050893863746,0.03460116405556376,0.4135497941417362,False
Chicago,17031806900,-87.754688,42.055146,0.06327218270310744,0.3942468972524612,1.8322331544498955,False
Chicago,17031841500,-87.708207,41.862218,0.9056473829201102,-0.1555957918091388,-0.9978699961970439,False
